step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-2.000, -0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.176)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 9  t=9.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 10  t=10.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 11  t=11.000  (-1.953, 0.001)  (-1.792, -0.818)  (-1.350, -1.458)  (-0.610, -1.860)  (0.184, -1.989)  (0.973, -1.682)  (1.541, -1.110)  (1.665, -0.397)  (1.919, 0.413)  (1.622, 1.161)  (1.007, 1.724)  (0.196, 1.874)  (-0.592, 1.902)  (-1.318, 1.495)  (-1.775, 0.781)
step= 12  t=12.000  (-1.830, -0.001)  (-1.724, -0.785)  (-1.275, -1.367)  (-0.520, -1.374)  (0.172, -1.962)  (0.950, -1.655)  (1.516, -1.140)  (1.664, -0.378)  (1.939, 0.482)  (1.568, 1.101)  (0.991, 1.658)  (0.186, 1.804)  (-0.553, 1.858)  (-1.278, 1.496)  (-1.659, 0.742)
step= 13  t=13.000  (-1.500, 0.109)  (-1.804, -0.824)  (-1.325, -1.285)  (-0.588, -1.423)  (0.324, -1.948)  (0.932, -1.655)  (1.480, -1.182)  (1.614, -0.437)  (1.937, 0.498)  (1.205, 0.948)  (1.014, 1.679)  (0.186, 1.715)  (-0.550, 1.845)  (-1.251, 1.546)  (-1.431, 0.553)
step= 14  t=14.000  (-1.570, 0.113)  (-1.778, -0.915)  (-1.247, -1.225)  (-0.573, -1.420)  (0.289, -1.979)  (0.948, -1.686)  (1.411, -1.183)  (1.538, -0.423)  (1.982, 0.270)  (1.255, 1.036)  (0.876, 1.662)  (0.201, 1.660)  (-0.512, 1.840)  (-1.113, 1.661)  (-1.446, 0.559)
step= 15  t=15.000  (-1.504, 0.137)  (-1.768, -0.935)  (-1.217, -1.219)  (-0.567, -1.369)  (0.325, -1.973)  (0.933, -1.675)  (1.329, -1.248)  (1.351, 0.298)  (1.962, 0.388)  (1.291, 0.908)  (0.853, 1.602)  (0.283, 1.610)  (-0.375, 1.827)  (-1.070, 1.690)  (-1.435, 0.551)
step= 16  t=16.000  (-1.436, 0.163)  (-1.782, -0.908)  (-1.174, -1.200)  (-0.463, -1.385)  (0.346, -1.938)  (0.937, -1.578)  (1.144, -1.348)  (1.387, 0.123)  (1.965, 0.375)  (1.163, 0.885)  (0.854, 1.562)  (0.469, 1.578)  (-0.279, 1.859)  (-0.966, 1.636)  (-1.431, 0.494)
step= 17  t=17.000  (-1.255, 0.125)  (-1.784, -0.904)  (-1.255, -1.126)  (-0.698, -1.276)  (0.443, -1.948)  (0.817, -1.528)  (1.232, -1.256)  (1.316, 0.106)  (1.889, 0.341)  (0.912, 0.830)  (0.845, 1.506)  (0.314, 1.494)  (-0.242, 1.864)  (-0.876, 1.615)  (-1.219, 0.609)
step= 18  t=18.000  (-0.875, 0.607)  (-1.758, -0.942)  (-1.225, -1.071)  (-0.663, -1.315)  (0.406, -1.952)  (0.816, -1.347)  (1.067, -1.237)  (1.220, 0.210)  (1.885, 0.481)  (0.787, 0.843)  (0.847, 1.543)  (0.162, 1.418)  (-0.104, 1.884)  (-0.696, 1.614)  (-1.077, 0.492)
step= 19  t=19.000  (0.889, 1.791)  (-1.753, -0.962)  (-1.111, -0.906)  (-0.691, -1.286)  (0.446, -1.809)  (0.821, -1.154)  (0.866, -1.221)  (1.264, 0.296)  (1.886, 0.661)  (0.553, 0.627)  (0.845, 1.606)  (0.196, 1.254)  (0.041, 1.652)  (-0.562, 1.919)  (-0.716, 0.446)
step= 20  t=20.000  (0.417, 1.453)  (-1.338, -1.004)  (-1.136, -0.744)  (-0.450, -0.891)  (0.615, -1.903)  (0.824, -0.796)  (0.566, -1.188)  (0.669, 0.868)  (1.793, 0.231)  (0.265, 0.301)  (0.840, 0.893)  (0.239, 0.932)  (0.769, 1.681)  (-0.636, 1.896)  (-0.441, 0.434)
