step= 17  t=17.000  (-0.573, -0.000)  (-0.533, -0.236)  (0.099, -0.051)  (-0.337, -0.677)  (0.089, -1.109)  (0.777, -1.216)  (1.713, -1.032)  (1.141, -0.245)  (1.871, 0.395)  (1.201, 0.787)  (0.667, 0.922)  (-0.030, 0.766)  (-0.016, 0.249)  (-0.389, 0.431)  (-0.526, 0.235)
step= 18  t=18.000  (-0.483, 0.001)  (-1.118, -0.353)  (-0.396, -0.283)  (0.030, -0.905)  (0.050, -1.093)  (0.805, -1.220)  (1.887, -0.662)  (1.099, -0.234)  (1.735, 0.286)  (1.285, 0.873)  (0.470, 0.958)  (0.325, 0.744)  (-0.254, 0.615)  (-0.867, 0.761)  (-0.440, 0.195)
step= 19  t=19.000  (-0.878, 0.100)  (-1.824, -0.818)  (-0.227, -0.405)  (-0.234, -0.685)  (0.083, -1.106)  (0.817, -1.185)  (1.911, -0.592)  (1.114, -0.159)  (1.730, 0.274)  (1.265, 0.893)  (0.525, 1.034)  (-0.074, 0.691)  (0.189, 0.699)  (-1.334, 1.490)  (-0.836, 0.261)
step= 20  t=20.000  (-1.338, 0.203)  (-1.808, -0.856)  (-0.455, -0.668)  (-0.095, -1.063)  (0.130, -0.883)  (0.677, -1.087)  (1.989, -0.206)  (1.280, -0.208)  (1.774, 0.448)  (1.507, 0.470)  (0.211, 0.964)  (0.119, 0.770)  (-0.046, 0.559)  (-0.637, 1.304)  (-1.311, 0.339)
step= 21  t=21.000  (-1.118, 0.004)  (-1.329, -0.651)  (-0.502, -0.530)  (-0.124, -0.976)  (-0.230, -1.026)  (0.807, -0.976)  (1.794, -0.053)  (1.157, -0.269)  (1.314, 0.274)  (1.465, 0.295)  (0.132, 1.183)  (0.364, 0.766)  (-0.021, 0.774)  (-0.717, 1.350)  (-1.213, 0.378)
step= 22  t=22.000  (-0.903, -0.097)  (-1.022, -0.488)  (-0.503, -0.466)  (-0.102, -0.909)  (-0.306, -0.944)  (0.672, -0.900)  (1.678, -0.127)  (0.925, -0.274)  (1.393, 0.137)  (1.299, 0.444)  (0.038, 1.288)  (0.208, 0.689)  (0.122, 0.743)  (-0.563, 1.173)  (-1.397, 0.110)
step= 23  t=23.000  (-0.584, -0.128)  (-1.259, -0.615)  (-0.484, -0.424)  (-0.032, -0.859)  (-0.134, -0.893)  (0.516, -0.715)  (1.757, -0.449)  (0.748, -0.234)  (1.913, 0.584)  (1.061, 0.417)  (-0.203, 1.453)  (0.158, 0.558)  (0.122, 0.833)  (-0.322, 0.858)  (-1.991, -0.186)
step= 24  t=24.000  (-0.214, -0.169)  (-1.403, -0.842)  (-0.340, -0.464)  (0.126, -0.866)  (-0.114, -0.736)  (0.431, -0.472)  (1.534, -1.284)  (0.695, -0.110)  (1.670, 1.100)  (0.696, 0.431)  (-0.227, 1.202)  (0.096, 0.439)  (0.288, 0.703)  (-0.346, 0.977)  (-1.511, -0.235)
step= 25  t=25.000  (-0.171, -0.219)  (-1.549, -1.265)  (-0.288, -0.373)  (0.098, -0.687)  (-0.147, -0.595)  (0.210, -0.588)  (1.421, -1.407)  (0.302, -0.187)  (1.964, 0.374)  (0.843, 0.636)  (-0.167, 1.347)  (0.177, 0.251)  (0.406, 0.628)  (-0.174, 0.721)  (-1.229, -0.001)
step= 26  t=26.000  (0.054, -0.064)  (-1.843, -0.775)  (-0.155, -0.209)  (0.227, -0.531)  (-0.200, -0.437)  (0.127, -0.525)  (1.421, -1.407)  (0.137, -0.443)  (1.964, 0.374)  (0.474, 0.186)  (0.000, 1.836)  (-0.176, 0.239)  (0.688, 0.859)  (-0.783, 1.143)  (-1.002, 0.022)
