step= 31  t=31.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 32  t=32.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 33  t=33.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 34  t=34.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 35  t=35.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 36  t=36.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 37  t=37.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 38  t=38.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 39  t=39.000  (1.991, 0.183)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.991, -0.183)
step= 40  t=40.000  (1.564, 0.144)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (-1.564, -0.144)
step= 41  t=41.000  (0.000, 0.000)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (0.000, 0.000)
step= 42  t=42.000  (0.000, 0.000)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (0.000, 0.000)
step= 43  t=43.000  (0.000, 0.000)  (-1.999, -0.002)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (1.999, 0.002)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (-0.694, -0.001)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (0.694, 0.001)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (1.992, 0.168)  (-1.999, 0.008)  (1.999, -0.008)  (-1.992, -0.168)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (1.800, 0.139)  (-1.999, 0.008)  (1.999, -0.008)  (-1.800, -0.139)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (1.651, 0.095)  (-1.999, 0.008)  (1.999, -0.008)  (-1.651, -0.095)  (0.000, 0.000)  (0.000, 0.000)
step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (1.481, 0.060)  (-1.082, 0.134)  (1.082, -0.134)  (-1.481, -0.060)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (0.000, 0.000)  (0.000, 0.000)  (1.211, 0.109)  (-0.076, 0.430)  (0.076, -0.430)  (-1.211, -0.109)  (0.000, 0.000)  (0.000, 0.000)
step= 51  t=51.000  (0.000, 0.000)  (0.000, 0.000)  (0.596, 0.353)  (0.436, -0.251)  (-0.436, 0.251)  (-0.596, -0.353)  (0.000, 0.000)  (0.000, 0.000)
step= 52  t=52.000  (0.000, 0.000)  (0.000, 0.000)  (-0.169, 0.090)  (-0.047, -0.205)  (0.047, 0.205)  (0.169, -0.090)  (0.000, 0.000)  (0.000, 0.000)
step= 53  t=53.000  (0.000, 0.000)  (0.000, 0.000)  (-0.792, -0.281)  (-0.101, -0.104)  (0.101, 0.104)  (0.792, 0.281)  (0.000, 0.000)  (0.000, 0.000)
step= 54  t=54.000  (0.000, 0.000)  (0.000, 0.000)  (-1.989, -0.201)  (0.000, 0.000)  (0.000, 0.000)  (1.989, 0.201)  (0.000, 0.000)  (0.000, 0.000)
step= 55  t=55.000  (0.000, 0.000)  (0.000, 0.000)  (-1.989, -0.201)  (0.000, 0.000)  (0.000, 0.000)  (1.989, 0.201)  (0.000, 0.000)  (0.000, 0.000)
step= 56  t=56.000  (0.000, 0.000)  (0.000, 0.000)  (-0.657, -0.202)  (0.000, 0.000)  (0.000, 0.000)  (0.657, 0.202)  (0.000, 0.000)  (0.000, 0.000)
step= 57  t=57.000  (0.000, 0.000)  (0.000, 0.000)  (-0.143, -0.141)  (0.000, 0.000)  (0.000, 0.000)  (0.143, 0.141)  (0.000, 0.000)  (0.000, 0.000)
step= 58  t=58.000  (0.000, 0.000)  (0.000, 0.000)  (0.142, 0.019)  (0.000, 0.000)  (0.000, 0.000)  (-0.142, -0.019)  (0.000, 0.000)  (0.000, 0.000)
step= 59  t=59.000  (0.000, 0.000)  (0.000, 0.000)  (0.082, 0.148)  (0.000, 0.000)  (0.000, 0.000)  (-0.082, -0.148)  (0.000, 0.000)  (0.000, 0.000)
step= 60  t=60.000  (0.000, 0.000)  (0.000, 0.000)  (-0.004, 0.117)  (0.000, 0.000)  (0.000, 0.000)  (0.004, -0.117)  (0.000, 0.000)  (0.000, 0.000)
