step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 9  t=9.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 10  t=10.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 11  t=11.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.622, -1.166)  (1.956, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.813, 0.829)
step= 12  t=12.000  (-1.580, -0.004)  (-1.832, -0.801)  (-1.256, -1.436)  (-0.578, -1.759)  (0.195, -1.887)  (0.086, 0.025)  (1.379, -0.941)  (1.939, -0.444)  (1.832, 0.410)  (1.611, 1.153)  (0.970, 1.732)  (0.196, 1.589)  (-0.650, 1.824)  (-1.206, 1.374)  (-1.640, 0.788)
step= 13  t=13.000  (-1.640, 0.154)  (-1.801, -0.869)  (0.130, -0.792)  (-0.565, -1.698)  (0.158, -1.985)  (0.651, -0.684)  (1.526, -0.902)  (1.962, -0.390)  (1.797, 0.366)  (1.581, 1.225)  (1.018, 1.654)  (0.072, 1.622)  (-0.694, 1.876)  (-1.191, 1.294)  (-1.789, 0.894)
step= 14  t=14.000  (-1.676, 0.093)  (-1.840, -0.783)  (-0.503, -1.157)  (-0.502, -1.666)  (0.139, -1.995)  (0.792, -1.102)  (1.515, -0.849)  (1.975, -0.313)  (1.765, 0.404)  (1.529, 1.193)  (1.036, 1.568)  (0.194, 1.633)  (-0.781, 1.739)  (-1.168, 1.293)  (-1.704, 0.914)
step= 15  t=15.000  (-1.676, 0.236)  (-1.872, -0.703)  (-0.766, -1.147)  (-0.468, -1.636)  (0.143, -1.995)  (0.767, -1.347)  (1.540, -0.782)  (1.988, -0.223)  (1.670, 0.407)  (1.540, 1.188)  (1.119, 1.658)  (0.069, 1.582)  (-0.712, 1.671)  (-1.198, 1.303)  (-1.651, 0.964)
step= 16  t=16.000  (-1.612, 0.341)  (-1.844, -0.606)  (-0.830, -1.189)  (-0.436, -1.603)  (0.165, -1.993)  (0.723, -1.531)  (1.624, -0.604)  (1.939, -0.155)  (1.625, 0.257)  (1.473, 1.167)  (1.084, 1.681)  (0.273, 1.501)  (-0.764, 1.622)  (-1.183, 1.259)  (-1.613, 1.001)
step= 17  t=17.000  (-1.547, 0.425)  (-1.792, -0.529)  (-0.825, -1.182)  (-0.436, -1.409)  (0.205, -1.989)  (0.740, -1.554)  (1.712, -0.468)  (1.914, -0.029)  (1.395, 0.610)  (1.450, 1.119)  (1.068, 1.691)  (0.132, 1.425)  (-0.777, 1.534)  (-1.139, 1.201)  (-1.689, 0.935)
step= 18  t=18.000  (-1.527, 0.528)  (-1.752, -0.571)  (-0.760, -1.132)  (-0.457, -1.260)  (0.265, -1.982)  (0.648, -1.480)  (1.801, -0.235)  (1.816, 0.049)  (1.508, 0.873)  (1.353, 0.966)  (1.024, 1.718)  (-0.055, 1.361)  (-0.712, 1.426)  (-1.074, 1.050)  (-1.736, 0.903)
step= 19  t=19.000  (-1.368, 0.557)  (-1.671, -0.522)  (-0.692, -1.187)  (-0.506, -1.049)  (0.179, -1.992)  (0.105, -1.288)  (1.831, -0.044)  (1.721, -0.033)  (1.342, 0.957)  (1.136, 0.849)  (1.228, 1.501)  (-0.256, 1.215)  (-0.713, 1.361)  (-0.929, 0.890)  (-1.668, 0.887)
step= 20  t=20.000  (-0.766, 0.615)  (-1.487, -0.167)  (-0.919, -1.636)  (-0.574, -0.856)  (0.047, -1.428)  (-0.227, -1.195)  (1.842, 0.170)  (1.774, 0.111)  (0.779, 1.044)  (0.897, 0.416)  (1.437, 1.391)  (-0.246, 0.668)  (-0.835, 0.906)  (-0.688, 0.630)  (-1.628, 0.778)
