step= 31  t=31.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 32  t=32.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 33  t=33.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 34  t=34.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 35  t=35.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 36  t=36.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 37  t=37.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 38  t=38.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 39  t=39.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-1.570, 1.238)
step= 40  t=40.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (1.220, -1.584)  (1.989, -0.197)  (1.491, 1.332)  (0.152, 1.993)  (-0.999, 0.788)
step= 41  t=41.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.005, -1.999)  (0.719, -0.933)  (1.989, -0.197)  (1.424, 1.273)  (0.152, 1.993)  (0.000, 0.000)
step= 42  t=42.000  (-1.930, 0.521)  (-1.425, -1.402)  (-0.001, -0.212)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.100, 1.311)  (0.000, 0.000)
step= 43  t=43.000  (-1.930, 0.521)  (-0.738, -0.726)  (0.000, 0.000)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (-1.000, 0.270)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.989, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.523, -0.052)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
