step= 31  t=31.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.996, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.998, 0.034)  (-1.997, -0.103)
step= 32  t=32.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.996, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.997, -0.103)
step= 33  t=33.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.996, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.997, -0.103)
step= 34  t=34.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.996, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.997, -0.103)
step= 35  t=35.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.996, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.997, -0.103)
step= 36  t=36.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.996, -0.103)
step= 37  t=37.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.996, -0.103)
step= 38  t=38.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.996, -0.103)
step= 39  t=39.000  (1.999, 0.033)  (-1.995, 0.127)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-1.996, -0.103)
step= 40  t=40.000  (1.999, 0.033)  (-1.044, -0.287)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.998, 0.047)  (1.999, 0.034)  (-0.683, -0.018)
step= 41  t=41.000  (1.999, 0.033)  (0.282, 0.336)  (1.999, -0.003)  (-1.997, 0.102)  (1.998, -0.068)  (-1.999, 0.047)  (1.999, 0.034)  (0.009, -0.017)
step= 42  t=42.000  (1.999, 0.033)  (0.000, 0.000)  (1.999, -0.003)  (-1.261, -0.333)  (1.998, -0.068)  (-1.999, 0.047)  (1.992, 0.034)  (0.000, 0.000)
step= 43  t=43.000  (1.999, 0.033)  (0.000, 0.000)  (1.999, -0.003)  (-0.520, -0.062)  (1.998, -0.068)  (-1.999, 0.047)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (1.503, -0.142)  (0.000, 0.000)  (1.999, -0.003)  (-0.077, 0.428)  (1.406, 0.138)  (-1.999, 0.047)  (0.000, 0.000)  (0.000, 0.000)
