step= 31  t=31.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 32  t=32.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 33  t=33.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-1.999, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 34  t=34.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-1.999, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 35  t=35.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-1.999, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 36  t=36.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 37  t=37.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 38  t=38.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 39  t=39.000  (2.000, 0.018)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 40  t=40.000  (1.390, 0.007)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 41  t=41.000  (0.616, -0.523)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.997, 0.107)  (-2.000, -0.031)  (2.000, 0.009)  (-1.997, -0.111)
step= 42  t=42.000  (-0.689, 0.156)  (-1.994, 0.156)  (2.000, -0.023)  (-1.998, 0.096)  (1.626, -0.013)  (-2.000, -0.031)  (2.000, 0.009)  (-1.679, -0.062)
step= 43  t=43.000  (0.050, 0.356)  (-1.994, 0.156)  (2.000, -0.023)  (-1.997, 0.096)  (1.257, 0.051)  (-2.000, -0.031)  (2.000, 0.009)  (-0.295, 0.539)
step= 44  t=44.000  (0.009, 0.016)  (-0.358, 0.028)  (1.889, -0.022)  (-1.648, -0.007)  (-0.220, 1.058)  (-1.481, -0.023)  (0.637, 0.774)  (0.330, -0.567)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-1.067, -0.236)  (-1.678, 0.045)  (0.000, 0.000)  (0.632, 0.590)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.606, -0.040)  (-0.840, -0.408)  (0.000, 0.000)  (-0.031, -0.726)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.059, 0.284)  (-0.375, -0.646)  (0.000, 0.000)  (-0.497, -0.472)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.353, 0.109)  (0.082, -0.522)  (0.000, 0.000)  (-0.678, -0.167)  (0.000, 0.000)
step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.055, -0.268)  (1.086, 0.375)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.561, 0.177)  (0.234, 0.013)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 51  t=51.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.131, 0.016)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 52  t=52.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-0.147, 0.081)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
