step= 0  t=0.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 1  t=0.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 2  t=1.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 3  t=1.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 4  t=2.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 5  t=2.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 6  t=3.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 7  t=3.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 8  t=4.000  (1.999, 0.000)  (1.883, -0.454)  (-1.883, -0.457)  (-1.999, 0.000)
step= 9  t=4.500  (1.999, 0.000)  (1.347, -1.180)  (-1.378, -1.126)  (-1.999, 0.000)
step= 10  t=5.000  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.152)  (-1.999, 0.000)
step= 11  t=5.500  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.152)  (-1.999, 0.000)
step= 12  t=6.000  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.152)  (-1.999, 0.000)
step= 13  t=6.500  (1.973, 0.262)  (1.969, -0.107)  (-1.969, -0.103)  (-1.978, 0.223)
step= 14  t=7.000  (1.971, 0.256)  (1.957, -0.118)  (-1.958, -0.116)  (-1.978, 0.201)
step= 15  t=7.500  (1.920, 0.400)  (1.784, -0.438)  (-1.884, -0.288)  (-1.840, 0.538)
step= 16  t=8.000  (1.999, -0.038)  (1.960, 0.394)  (-1.966, 0.359)  (-1.998, -0.040)
step= 17  t=8.500  (1.999, -0.038)  (1.960, 0.394)  (-1.967, 0.359)  (-1.999, -0.040)
step= 18  t=9.000  (1.894, 0.383)  (1.960, 0.394)  (-1.967, 0.359)  (-1.898, 0.382)
step= 19  t=9.500  (1.797, -0.483)  (1.960, 0.394)  (-1.967, 0.359)  (-1.469, 1.055)
step= 20  t=10.000  (1.734, -0.556)  (1.249, 0.251)  (-1.089, 0.199)  (-1.400, 1.055)
step= 21  t=10.500  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 22  t=11.000  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 23  t=11.500  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 24  t=12.000  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 25  t=12.500  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 26  t=13.000  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 27  t=13.500  (1.999, -0.010)  (0.000, 0.000)  (0.000, 0.000)  (-1.992, -0.170)
step= 28  t=14.000  (1.951, -0.109)  (0.000, 0.000)  (0.000, 0.000)  (-1.996, -0.059)
step= 29  t=14.500  (1.800, -0.193)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, 0.005)
step= 30  t=15.000  (1.485, -0.818)  (0.000, 0.000)  (0.000, 0.000)  (-1.999, 0.050)
step= 31  t=15.500  (1.912, -0.585)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, -0.222)
step= 32  t=16.000  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, -0.222)
step= 33  t=16.500  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, -0.222)
step= 34  t=17.000  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 35  t=17.500  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 36  t=18.000  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 37  t=18.500  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 38  t=19.000  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 39  t=19.500  (1.991, 0.180)  (0.000, 0.000)  (0.000, 0.000)  (-1.987, -0.222)
step= 40  t=20.000  (1.655, 0.149)  (0.000, 0.000)  (0.000, 0.000)  (-1.634, -0.182)
