step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 21  t=21.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 22  t=22.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 23  t=23.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 24  t=24.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 25  t=25.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 26  t=26.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 27  t=27.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 28  t=28.000  (-2.000, -0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.176)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 29  t=29.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 30  t=30.000  (-2.000, -0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.176)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.176)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 31  t=31.000  (-1.886, -0.004)  (-1.827, -0.813)  (-1.347, -1.451)  (-0.615, -1.825)  (0.214, -1.940)  (1.008, -1.715)  (1.554, -1.124)  (1.901, -0.404)  (1.955, 0.408)  (1.613, 1.182)  (1.022, 1.702)  (0.190, 1.991)  (-0.633, 1.867)  (-1.343, 1.446)  (-1.814, 0.829)
step= 32  t=32.000  (-1.815, 0.003)  (-1.740, -0.759)  (-1.288, -1.360)  (-0.594, -1.714)  (0.197, -1.931)  (1.011, -1.726)  (1.514, -1.070)  (1.869, -0.402)  (1.890, 0.382)  (1.624, 1.167)  (0.887, 1.471)  (0.191, 1.991)  (-0.650, 1.816)  (-1.246, 1.335)  (-1.816, 0.837)
step= 33  t=33.000  (-1.734, -0.038)  (-1.738, -0.747)  (-1.270, -1.339)  (-0.613, -1.248)  (0.196, -1.894)  (0.992, -1.736)  (-0.516, 1.932)  (1.885, -0.388)  (-0.056, -0.826)  (1.676, 1.092)  (0.841, 1.459)  (0.083, 1.998)  (-0.632, 1.804)  (-1.176, 1.284)  (-1.816, 0.837)
step= 34  t=34.000  (-1.688, -0.062)  (-1.729, -0.764)  (-1.290, -1.309)  (-0.611, -1.325)  (0.146, -1.859)  (1.013, -1.724)  (0.581, 0.359)  (0.694, -0.673)  (0.936, -0.263)  (1.602, 1.140)  (0.751, 1.433)  (0.155, 1.958)  (-0.641, 1.770)  (-1.103, 1.280)  (-1.842, 0.779)
step= 35  t=35.000  (-0.782, 1.367)  (-1.708, -0.815)  (-1.387, -1.151)  (-0.580, -1.361)  (-0.657, -1.606)  (0.792, -1.837)  (1.243, -0.619)  (1.133, -0.484)  (1.474, -0.278)  (0.962, 1.512)  (0.729, 1.357)  (0.210, 1.932)  (-0.653, 1.690)  (-1.249, 0.960)  (-1.827, 0.795)
step= 36  t=36.000  (-1.233, 0.665)  (-1.512, -0.949)  (-1.403, -1.096)  (-0.453, -1.354)  (-0.625, -1.617)  (0.839, -1.815)  (1.571, -0.947)  (1.166, -0.536)  (1.647, -0.101)  (0.920, 1.586)  (0.851, 1.220)  (0.024, 1.826)  (-0.622, 1.618)  (-1.008, 1.161)  (-1.781, 0.814)
step= 37  t=37.000  (-1.344, 0.436)  (-1.555, -0.776)  (-1.441, -0.895)  (-0.437, -1.300)  (-0.671, -1.601)  (0.696, -1.875)  (1.588, -1.216)  (1.200, -0.554)  (1.768, 0.052)  (0.996, 1.609)  (0.921, 1.026)  (-0.259, 1.661)  (-0.618, 1.531)  (-0.755, 1.282)  (-1.753, 0.827)
step= 38  t=38.000  (-1.343, 0.474)  (-1.413, -0.576)  (-1.458, -0.771)  (-0.180, -1.291)  (-0.841, -1.425)  (0.626, -1.619)  (1.300, 0.222)  (1.253, -0.512)  (1.164, -0.972)  (1.023, 1.455)  (0.907, 0.658)  (-0.494, 1.526)  (-0.598, 1.671)  (-0.391, 1.219)  (-1.728, 0.839)
step= 39  t=39.000  (-1.307, 0.368)  (-1.209, -0.514)  (-1.459, -0.755)  (-0.260, -1.079)  (-0.852, -1.286)  (0.441, -1.296)  (1.180, 0.854)  (1.229, -0.677)  (1.202, -0.922)  (0.967, 1.567)  (1.249, 0.846)  (-0.657, 1.310)  (-0.514, 1.781)  (-0.316, 1.398)  (-1.716, 0.836)
step= 40  t=40.000  (-1.216, 0.421)  (-0.947, -0.494)  (-0.940, 0.237)  (-0.239, -1.056)  (-0.655, -1.890)  (0.172, -0.966)  (1.234, 0.834)  (0.890, -0.814)  (1.838, -0.789)  (0.340, 1.523)  (1.294, 1.133)  (-0.670, 1.082)  (-0.370, 1.019)  (-0.316, 1.485)  (-1.720, 0.862)
step= 41  t=41.000  (-1.309, 0.521)  (-0.642, -0.577)  (-0.796, -0.062)  (-0.220, -0.826)  (-0.415, -1.956)  (0.259, -0.925)  (1.959, -0.403)  (1.145, -1.190)  (1.999, 0.055)  (0.198, 1.990)  (1.351, 1.353)  (-0.854, 0.686)  (-0.762, 0.940)  (-0.316, 1.497)  (-1.708, 1.040)
step= 42  t=42.000  (-1.443, 0.705)  (-0.865, -0.249)  (-0.867, 0.212)  (-0.278, -0.859)  (0.354, -1.968)  (-0.003, -0.847)  (1.879, -0.685)  (1.390, -1.421)  (1.918, 0.566)  (0.845, 1.734)  (1.352, 1.405)  (-0.897, 0.763)  (-0.625, 0.752)  (-0.286, 1.484)  (-1.753, 0.963)
step= 43  t=43.000  (-1.610, 0.621)  (-1.833, -0.387)  (-0.863, 0.391)  (-0.292, -0.998)  (0.356, -1.968)  (0.775, -0.815)  (1.570, 0.402)  (1.581, -1.130)  (1.918, 0.566)  (1.418, 1.189)  (1.572, 0.628)  (-0.947, 0.928)  (-0.288, 1.084)  (-0.804, 1.328)  (-1.835, 0.796)
step= 44  t=44.000  (-1.566, 0.625)  (-1.828, -0.812)  (-0.832, -0.352)  (-0.596, -1.728)  (0.356, -1.968)  (0.768, -1.090)  (1.166, -0.159)  (1.849, -0.707)  (1.918, 0.566)  (1.534, 1.091)  (1.225, 0.986)  (-0.958, 0.867)  (-0.441, 1.122)  (-1.300, 1.444)  (-1.835, 0.796)
step= 45  t=45.000  (-1.531, 0.639)  (-1.828, -0.812)  (-0.875, -1.067)  (-0.615, -1.903)  (0.356, -1.968)  (0.776, -1.509)  (0.875, -1.142)  (1.981, -0.271)  (1.918, 0.566)  (1.592, 1.087)  (1.363, 1.464)  (-0.880, 0.769)  (-0.521, 1.206)  (-1.410, 1.417)  (-1.835, 0.796)
step= 46  t=46.000  (-1.838, 0.687)  (-1.827, -0.811)  (-1.088, -1.503)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.391, -1.362)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.998, 1.594)  (-0.379, 0.686)  (-0.551, 1.268)  (-1.410, 1.417)  (-1.835, 0.796)
step= 47  t=47.000  (-1.975, 0.314)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.721, 1.018)  (0.861, 1.720)  (-0.260, 0.931)  (-0.478, 1.369)  (-1.410, 1.417)  (-1.835, 0.796)
step= 48  t=48.000  (-1.995, 0.146)  (-1.828, -0.811)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.721, 1.019)  (0.862, 1.788)  (-0.065, 1.075)  (-0.418, 1.559)  (-1.411, 1.418)  (-1.835, 0.796)
step= 49  t=49.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.918, 0.566)  (1.721, 1.019)  (0.875, 1.798)  (0.146, 1.272)  (-0.525, 1.868)  (-1.411, 1.417)  (-1.835, 0.796)
step= 50  t=50.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.478, 1.652)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.835, 0.796)
step= 51  t=51.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.874, 1.797)  (0.444, 1.949)  (-0.577, 1.915)  (-1.411, 1.418)  (-1.835, 0.796)
step= 52  t=52.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.874, 1.797)  (0.444, 1.949)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.835, 0.796)
step= 53  t=53.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.418)  (-1.835, 0.796)
step= 54  t=54.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.418)  (-1.835, 0.796)
step= 55  t=55.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.721, 1.019)  (0.875, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.835, 0.796)
step= 56  t=56.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.903)  (0.356, -1.968)  (1.045, -1.705)  (1.484, -1.340)  (1.981, -0.271)  (1.918, 0.566)  (1.721, 1.019)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.835, 0.796)
step= 57  t=57.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.019)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.835, 0.796)
step= 58  t=58.000  (-1.987, -0.223)  (-1.828, -0.812)  (-1.226, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.019)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.418)  (-1.834, 0.795)
step= 59  t=59.000  (-1.987, -0.223)  (-1.828, -0.811)  (-1.226, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.019)  (0.875, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.411, 1.417)  (-1.834, 0.795)
step= 60  t=60.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.019)  (0.874, 1.798)  (0.444, 1.950)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 61  t=61.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.018)  (0.875, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.410, 1.417)  (-1.834, 0.795)
step= 62  t=62.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.721, 1.019)  (0.875, 1.798)  (0.444, 1.950)  (-0.577, 1.915)  (-1.410, 1.417)  (-1.834, 0.795)
step= 63  t=63.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 64  t=64.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.484, -1.341)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 65  t=65.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 66  t=66.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 67  t=67.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 68  t=68.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 69  t=69.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 70  t=70.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 71  t=71.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 72  t=72.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 73  t=73.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
step= 74  t=74.000  (-1.987, -0.223)  (-1.827, -0.811)  (-1.225, -1.580)  (-0.615, -1.902)  (0.356, -1.967)  (1.045, -1.705)  (1.483, -1.340)  (1.981, -0.271)  (1.917, 0.566)  (1.720, 1.018)  (0.874, 1.798)  (0.444, 1.949)  (-0.577, 1.914)  (-1.410, 1.417)  (-1.834, 0.795)
