step= 0  t=0.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 1  t=0.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 2  t=1.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 3  t=1.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 4  t=2.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 5  t=2.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 6  t=3.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 7  t=3.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 8  t=4.000  (1.999, 0.000)  (1.880, -0.466)  (-1.879, -0.472)  (-1.999, 0.000)
step= 9  t=4.500  (1.999, 0.000)  (1.350, -1.174)  (-1.356, -1.171)  (-1.999, 0.000)
step= 10  t=5.000  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.158)  (-1.999, 0.000)
step= 11  t=5.500  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.158)  (-1.999, 0.000)
step= 12  t=6.000  (1.999, 0.000)  (1.993, 0.157)  (-1.993, 0.158)  (-1.999, 0.000)
step= 13  t=6.500  (1.971, 0.291)  (1.970, -0.100)  (-1.969, -0.101)  (-1.977, 0.241)
step= 14  t=7.000  (1.970, 0.306)  (1.960, -0.098)  (-1.966, -0.068)  (-1.973, 0.253)
step= 15  t=7.500  (1.975, 0.298)  (1.891, -0.246)  (-1.965, -0.017)  (-1.917, 0.419)
step= 16  t=8.000  (1.999, -0.037)  (1.967, 0.353)  (-1.976, 0.301)  (-1.999, -0.038)
step= 17  t=8.500  (1.999, -0.037)  (1.968, 0.353)  (-1.976, 0.301)  (-1.999, -0.038)
step= 18  t=9.000  (1.887, -0.494)  (1.968, 0.353)  (-1.976, 0.301)  (-1.891, 0.403)
step= 19  t=9.500  (1.874, -0.506)  (1.968, 0.353)  (-1.976, 0.301)  (-1.875, 0.426)
step= 20  t=10.000  (1.999, 0.009)  (1.106, 0.199)  (-0.987, 0.151)  (-1.997, -0.082)
step= 21  t=10.500  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, -0.082)
step= 22  t=11.000  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.082)
step= 23  t=11.500  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.082)
step= 24  t=12.000  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.082)
step= 25  t=12.500  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, -0.082)
step= 26  t=13.000  (1.999, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, -0.082)
step= 27  t=13.500  (1.991, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.858, -0.157)
step= 28  t=14.000  (1.955, -0.083)  (0.000, 0.000)  (0.000, 0.000)  (-1.814, -0.320)
step= 29  t=14.500  (1.745, -0.186)  (0.000, 0.000)  (0.000, 0.000)  (-1.528, -0.344)
step= 30  t=15.000  (1.845, -0.773)  (0.000, 0.000)  (0.000, 0.000)  (-0.840, -0.343)
step= 31  t=15.500  (2.000, 0.009)  (0.000, 0.000)  (0.000, 0.000)  (-0.893, -1.253)
step= 32  t=16.000  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.869, -0.712)
step= 33  t=16.500  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 34  t=17.000  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.985, 0.230)
step= 35  t=17.500  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 36  t=18.000  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 37  t=18.500  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 38  t=19.000  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 39  t=19.500  (1.994, 0.138)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 40  t=20.000  (0.854, 0.059)  (0.000, 0.000)  (0.000, 0.000)  (-1.986, 0.230)
step= 41  t=20.500  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (-1.712, 0.199)
