step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 9  t=9.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 10  t=10.000  (-2.000, 0.000)  (-1.827, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.989)  (1.000, -1.732)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.618, 1.175)  (1.000, 1.732)  (0.209, 1.989)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.827, 0.813)
step= 11  t=11.000  (-2.000, 0.000)  (-1.830, -0.800)  (-1.353, -1.464)  (-0.569, -1.752)  (0.209, -1.989)  (1.000, -1.732)  (1.616, -1.177)  (1.956, -0.416)  (1.925, 0.430)  (1.618, 1.175)  (0.975, 1.703)  (0.193, 1.986)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.822, 0.818)
step= 12  t=12.000  (-1.176, -0.071)  (-1.496, -0.661)  (-1.402, -1.426)  (-0.549, -1.702)  (0.190, -1.907)  (0.895, -1.504)  (1.443, -1.053)  (1.938, -0.394)  (1.867, 0.435)  (1.625, 1.166)  (0.975, 1.714)  (0.197, 1.725)  (-0.563, 1.745)  (-1.270, 1.413)  (-1.755, 0.789)
step= 13  t=13.000  (-1.419, -0.091)  (-1.565, -0.790)  (-1.357, -1.469)  (-0.512, -1.605)  (0.168, -1.993)  (0.905, -1.450)  (1.393, -1.061)  (1.968, -0.358)  (0.735, 0.178)  (1.623, 1.168)  (1.105, 1.667)  (0.149, 1.671)  (-0.471, 1.647)  (-1.261, 1.381)  (-1.723, 0.903)
step= 14  t=14.000  (-1.505, -0.128)  (-1.485, -0.549)  (-1.293, -1.493)  (-0.537, -1.571)  (0.100, -1.975)  (0.976, -1.411)  (1.325, -1.062)  (1.948, -0.325)  (1.263, 0.266)  (1.615, 1.152)  (1.161, 1.629)  (0.102, 1.616)  (-0.330, 1.582)  (-1.382, 1.369)  (-1.769, 0.934)
step= 15  t=15.000  (-1.633, -0.201)  (-1.312, -0.442)  (-1.082, -1.559)  (-0.458, -1.551)  (0.026, -1.964)  (0.849, -1.430)  (1.264, -1.010)  (1.930, -0.262)  (1.386, 0.181)  (1.629, 1.114)  (1.220, 1.585)  (0.115, 1.558)  (-0.307, 1.517)  (-1.475, 1.351)  (-1.751, 0.966)
step= 16  t=16.000  (-1.625, -0.112)  (-1.232, -0.407)  (-0.992, -1.495)  (-0.305, -1.535)  (0.089, -1.896)  (0.820, -1.447)  (1.214, -0.992)  (1.868, -0.311)  (1.355, 0.179)  (1.637, 1.093)  (1.068, 1.569)  (0.065, 1.531)  (-0.257, 1.475)  (-1.273, 1.371)  (-1.695, 0.740)
step= 17  t=17.000  (-1.462, 0.077)  (-1.116, -0.353)  (-0.896, -1.479)  (-0.207, -1.514)  (0.026, -1.805)  (0.807, -1.450)  (1.116, -1.017)  (1.449, -0.688)  (1.285, 0.207)  (1.647, 1.134)  (0.985, 1.556)  (0.066, 1.561)  (-0.385, 1.313)  (-1.212, 1.399)  (-1.718, 0.719)
step= 18  t=18.000  (-1.456, 0.086)  (-0.976, -0.298)  (-0.897, -1.457)  (-0.219, -1.499)  (0.030, -1.818)  (0.820, -1.392)  (1.214, -0.216)  (1.462, -0.753)  (1.218, 0.238)  (1.362, 1.090)  (0.802, 1.322)  (-0.107, 1.593)  (-0.358, 1.338)  (-1.116, 1.419)  (-1.605, 0.734)
step= 19  t=19.000  (-1.455, 0.081)  (-0.794, -0.189)  (-0.708, -1.182)  (-0.182, -1.457)  (0.022, -1.652)  (0.822, -1.281)  (1.056, 0.115)  (1.314, -0.783)  (1.212, 0.141)  (1.268, 1.070)  (0.682, 1.139)  (-0.332, 1.624)  (-0.361, 1.223)  (-0.811, 1.217)  (-1.727, 0.712)
step= 20  t=20.000  (-1.416, 0.071)  (-0.411, 0.057)  (-0.665, -1.062)  (0.201, -1.338)  (-0.346, -1.084)  (0.464, -0.786)  (0.897, 0.316)  (1.370, -0.737)  (1.025, -0.030)  (1.275, 1.219)  (0.570, 0.740)  (-0.369, 1.317)  (-0.245, 0.956)  (-0.887, 1.086)  (-1.484, 0.704)
