step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 9  t=9.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 10  t=10.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.732)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 11  t=11.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 12  t=12.000  (-1.052, -0.000)  (-1.766, -0.761)  (-1.228, -1.415)  (-0.554, -1.755)  (0.210, -1.939)  (0.956, -1.674)  (1.427, -1.010)  (1.908, -0.371)  (0.122, 0.043)  (1.572, 1.152)  (1.008, 1.727)  (0.167, 1.661)  (-0.588, 1.782)  (-1.068, 1.134)  (-1.643, 0.759)
step= 13  t=13.000  (-1.364, 0.135)  (-1.811, -0.848)  (-0.913, -1.194)  (-0.527, -1.666)  (0.109, -1.663)  (0.937, -1.209)  (1.395, -0.976)  (1.955, -0.417)  (0.984, 0.275)  (1.514, 1.190)  (1.077, 1.685)  (0.137, 1.685)  (-0.617, 1.901)  (-1.115, 1.162)  (-1.827, 0.812)
step= 14  t=14.000  (-1.610, 0.069)  (-1.659, -0.844)  (-0.875, -1.343)  (-0.464, -1.687)  (-0.094, -1.979)  (0.814, -1.225)  (1.396, -0.980)  (1.981, -0.276)  (1.464, 0.313)  (1.458, 1.104)  (1.016, 1.723)  (0.203, 1.678)  (-0.380, 1.885)  (-1.132, 1.234)  (-1.796, 0.671)
step= 15  t=15.000  (-1.444, 0.151)  (-1.554, -0.931)  (-0.890, -1.493)  (-0.446, -1.634)  (0.060, -1.999)  (0.828, -1.239)  (1.194, -0.964)  (1.988, -0.221)  (1.695, 0.315)  (1.373, 1.170)  (0.946, 1.762)  (0.062, 1.651)  (-0.321, 1.837)  (-0.906, 0.913)  (-1.829, 0.808)
step= 16  t=16.000  (-1.368, 0.158)  (-1.442, -1.041)  (-0.879, -1.518)  (-0.441, -1.614)  (0.104, -1.843)  (0.899, -1.264)  (1.251, -0.946)  (1.984, -0.256)  (1.619, 0.220)  (1.298, 1.215)  (0.893, 1.747)  (0.081, 1.645)  (-0.305, 1.693)  (-0.936, 0.995)  (-1.799, 0.874)
step= 17  t=17.000  (-1.306, 0.133)  (-1.360, -1.015)  (-0.829, -1.533)  (-0.219, -1.451)  (0.138, -1.736)  (0.963, -1.227)  (1.184, -0.977)  (1.981, -0.272)  (1.587, 0.499)  (1.363, 1.090)  (0.802, 1.802)  (0.100, 1.642)  (-0.421, 1.765)  (-0.861, 0.933)  (-1.688, 0.829)
step= 18  t=18.000  (-1.267, 0.178)  (-1.285, -0.982)  (-0.704, -1.564)  (-0.076, -1.339)  (-0.024, -1.748)  (1.216, -1.070)  (1.165, -0.853)  (1.982, -0.269)  (1.487, 0.426)  (1.229, 0.945)  (0.823, 1.732)  (0.155, 1.639)  (-0.480, 1.731)  (-0.973, 0.318)  (-1.540, 0.850)
step= 19  t=19.000  (1.874, -0.700)  (-1.127, -0.963)  (-0.725, -1.456)  (-0.016, -1.212)  (0.006, -1.483)  (1.369, -0.834)  (1.024, -0.952)  (1.994, -0.151)  (1.407, 0.379)  (1.396, 0.781)  (0.835, 1.719)  (0.290, 1.580)  (-0.557, 1.526)  (-0.951, 0.288)  (-1.604, 0.877)
step= 20  t=20.000  (0.807, -1.454)  (-1.227, -0.977)  (-0.463, -1.519)  (1.326, -0.749)  (-0.084, -1.339)  (1.528, -0.701)  (0.802, -0.939)  (1.997, -0.114)  (1.278, 0.366)  (1.539, 0.596)  (0.828, 1.820)  (0.351, 1.380)  (-0.189, 1.221)  (-0.892, 0.262)  (-1.386, 1.000)
