step= 31  t=31.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.998)  (-1.725, 1.010)
step= 32  t=32.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 33  t=33.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 34  t=34.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 35  t=35.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 36  t=36.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 37  t=37.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 38  t=38.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 39  t=39.000  (-1.992, -0.167)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (1.997, 0.090)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 40  t=40.000  (-1.416, -0.119)  (-1.398, -1.429)  (0.309, -1.975)  (1.392, -1.435)  (0.992, 0.045)  (1.166, 1.624)  (0.046, 1.999)  (-1.725, 1.010)
step= 41  t=41.000  (0.000, 0.000)  (-0.968, -0.989)  (0.280, -1.790)  (1.392, -1.435)  (0.000, 0.000)  (1.166, 1.624)  (0.010, 0.417)  (-1.725, 1.010)
step= 42  t=42.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.765, -0.789)  (0.000, 0.000)  (1.166, 1.624)  (0.000, 0.000)  (-0.014, 0.008)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.098, 1.530)  (0.000, 0.000)  (0.000, 0.000)
