step= 30  t=30.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 31  t=31.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 32  t=32.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 33  t=33.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 34  t=34.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 35  t=35.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 36  t=36.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 37  t=37.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 38  t=38.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 39  t=39.000  (-1.999, -0.022)  (-1.411, -1.416)  (-0.023, -1.999)  (1.408, -1.419)  (1.963, 0.380)  (1.336, 1.487)  (-0.005, 1.999)  (-1.502, 1.320)
step= 40  t=40.000  (-0.130, -0.001)  (-0.053, -0.053)  (-0.007, -0.635)  (0.079, -0.079)  (1.963, 0.380)  (1.336, 1.487)  (-0.000, 0.123)  (-1.502, 1.320)
step= 41  t=41.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.963, 0.380)  (1.336, 1.487)  (0.000, 0.000)  (-1.502, 1.320)
step= 42  t=42.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.963, 0.380)  (1.336, 1.487)  (0.000, 0.000)  (-1.200, 1.055)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.963, 0.380)  (1.336, 1.487)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.963, 0.380)  (1.336, 1.487)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.963, 0.380)  (0.753, 0.838)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.259, 0.050)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
