step= 31  t=31.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 32  t=32.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 33  t=33.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 34  t=34.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 35  t=35.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 36  t=36.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 37  t=37.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 38  t=38.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 39  t=39.000  (1.997, 0.081)  (-1.997, 0.082)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.996, -0.108)
step= 40  t=40.000  (1.225, -0.267)  (-1.273, -0.156)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (-1.300, 0.341)
step= 41  t=41.000  (-0.390, 0.083)  (0.007, -0.531)  (1.996, 0.116)  (-1.999, -0.001)  (1.997, -0.094)  (-1.999, 0.019)  (1.999, 0.016)  (0.566, 0.258)
step= 42  t=42.000  (-0.004, 0.217)  (0.556, 0.458)  (1.996, 0.116)  (-1.999, -0.001)  (1.596, -0.017)  (-1.999, 0.019)  (1.999, 0.016)  (0.140, -0.584)
step= 43  t=43.000  (0.000, 0.000)  (-0.124, 0.263)  (1.125, 0.008)  (-1.999, -0.001)  (0.574, -0.069)  (-1.262, 0.300)  (1.999, 0.016)  (-0.043, -0.049)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (0.623, -0.061)  (-1.132, -0.003)  (-1.178, 0.691)  (-0.566, -0.122)  (0.601, 0.501)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.044, 0.639)  (-0.712, -0.105)  (-0.771, -0.166)  (0.032, -0.185)  (0.166, -0.136)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (-0.358, 0.306)  (-0.407, -0.061)  (-0.409, -0.421)  (1.352, -0.236)  (-0.362, -0.204)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (-0.374, 0.029)  (0.065, 0.338)  (-0.396, -0.140)  (0.671, -0.065)  (-0.201, -0.160)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (-0.967, -0.382)  (0.396, 0.106)  (-0.180, -0.040)  (0.363, 0.169)  (0.000, 0.000)  (0.000, 0.000)
