step= 17  t=17.000  (-1.768, 0.404)  (-1.282, -0.747)  (-1.557, -0.752)  (-0.558, -1.859)  (0.424, -1.955)  (0.896, -1.788)  (1.617, -1.176)  (1.709, 0.223)  (1.445, 0.545)  (1.203, 0.887)  (1.069, 1.175)  (0.078, 1.998)  (-0.650, 1.846)  (-1.440, 1.291)  (-1.669, 0.553)
step= 18  t=18.000  (-1.543, 0.099)  (-1.485, -0.396)  (-1.752, 0.964)  (-0.559, -1.857)  (0.373, -1.965)  (0.937, -1.767)  (1.611, -1.177)  (1.665, 0.115)  (1.334, 0.575)  (0.392, 0.921)  (1.262, 1.100)  (-0.100, 1.998)  (-0.656, 1.827)  (-1.506, 1.300)  (-1.494, 0.501)
step= 19  t=19.000  (-1.435, -0.008)  (-1.372, -0.356)  (-1.533, 0.571)  (-0.710, -1.582)  (0.274, -1.892)  (0.468, -0.865)  (1.346, -0.767)  (1.996, 0.126)  (1.193, 0.615)  (-1.776, 0.246)  (1.622, 0.949)  (-0.232, 1.760)  (-0.601, 1.816)  (-1.602, 1.197)  (-1.274, 0.350)
step= 20  t=20.000  (-1.532, -0.055)  (-1.228, -0.406)  (-1.214, 0.282)  (0.091, -1.132)  (0.608, -1.387)  (0.381, -0.688)  (1.064, -0.580)  (1.990, 0.200)  (0.752, 1.853)  (-1.035, 0.409)  (1.925, 0.544)  (0.197, 1.990)  (0.133, -0.705)  (-1.682, 0.765)  (-1.961, 0.394)
step= 21  t=21.000  (-1.524, 0.024)  (-0.851, -0.484)  (-1.122, -0.230)  (0.681, -0.591)  (0.538, -1.442)  (0.555, -0.972)  (1.044, -0.506)  (2.000, -0.010)  (0.514, 1.933)  (-1.002, 0.313)  (1.927, 0.535)  (-0.093, 1.354)  (-0.127, -0.317)  (-1.497, 1.084)  (-1.714, -0.791)
step= 22  t=22.000  (-1.762, -0.087)  (-1.294, -0.692)  (-0.982, -0.458)  (0.464, -0.724)  (0.582, -1.801)  (0.780, -1.117)  (0.957, -0.357)  (1.687, -0.285)  (0.491, 1.939)  (-0.782, 0.508)  (1.516, 0.372)  (0.356, 1.401)  (-0.570, 0.078)  (-1.470, 1.356)  (-1.621, -0.262)
step= 23  t=23.000  (-1.858, -0.201)  (-1.630, -0.819)  (-0.844, -0.915)  (0.188, -1.231)  (0.286, -1.941)  (0.993, -1.467)  (1.031, -0.404)  (1.627, -0.236)  (0.907, 1.782)  (-0.604, 0.651)  (1.455, 0.259)  (0.351, 1.668)  (-0.672, 0.719)  (-1.350, 1.476)  (-1.729, -0.045)
step= 24  t=24.000  (-1.892, -0.201)  (-1.820, -0.828)  (-0.904, -1.216)  (-0.724, -1.864)  (0.062, -1.999)  (1.010, -1.726)  (1.165, -0.486)  (1.768, -0.158)  (1.119, 1.657)  (-0.080, 1.316)  (1.114, 0.116)  (0.234, 1.782)  (-0.858, 1.784)  (-1.201, 1.599)  (-1.658, -0.010)
step= 25  t=25.000  (-1.999, -0.031)  (-1.820, -0.828)  (-0.886, -1.559)  (-0.724, -1.864)  (0.062, -1.998)  (1.010, -1.726)  (1.303, -0.639)  (1.913, -0.585)  (1.870, 0.710)  (0.356, 1.668)  (0.561, 1.164)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.599)  (-1.395, 0.125)
step= 26  t=26.000  (-1.999, -0.031)  (-1.820, -0.828)  (-0.992, -1.664)  (-0.723, -1.864)  (0.062, -1.998)  (1.010, -1.726)  (1.542, -1.064)  (1.888, -0.657)  (1.995, -0.119)  (0.853, 1.581)  (0.302, 1.727)  (0.272, 1.980)  (-0.560, 1.920)  (-1.201, 1.599)  (-1.239, 0.471)
step= 27  t=27.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.995, -0.119)  (1.419, 1.409)  (0.601, 1.907)  (0.272, 1.980)  (-0.560, 1.919)  (-1.201, 1.599)  (-1.218, 0.699)
step= 28  t=28.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.998, 0.086)  (1.570, 1.239)  (0.483, 1.803)  (0.272, 1.980)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.315, 0.914)
step= 29  t=29.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.863)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.998, 0.100)  (1.666, 1.107)  (0.483, 1.796)  (0.272, 1.980)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 30  t=30.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.704)  (-0.723, -1.863)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.999, 0.071)  (1.738, 0.990)  (0.473, 1.782)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 31  t=31.000  (-1.999, -0.031)  (-1.819, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (2.000, 0.034)  (1.838, 0.786)  (0.488, 1.790)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
step= 32  t=32.000  (-1.999, -0.031)  (-1.820, -0.828)  (-1.046, -1.703)  (-0.723, -1.864)  (0.062, -1.998)  (1.009, -1.725)  (1.564, -1.245)  (1.888, -0.657)  (1.991, -0.181)  (1.838, 0.786)  (0.624, 1.899)  (0.272, 1.981)  (-0.560, 1.919)  (-1.201, 1.598)  (-1.660, 1.114)
