step= 31  t=31.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.995, 0.113)  (1.995, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 32  t=32.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.995, 0.113)  (1.995, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 33  t=33.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 34  t=34.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 35  t=35.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 36  t=36.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 37  t=37.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 38  t=38.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 39  t=39.000  (1.999, 0.028)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-1.999, -0.028)
step= 40  t=40.000  (0.269, -0.162)  (-1.997, -0.096)  (1.999, -0.021)  (-1.996, 0.113)  (1.996, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (-0.269, 0.162)
step= 41  t=41.000  (-0.088, 0.154)  (-1.997, -0.096)  (1.999, -0.021)  (-1.990, 0.113)  (1.990, -0.113)  (-1.999, 0.021)  (1.997, 0.096)  (0.088, -0.154)
step= 42  t=42.000  (0.003, 0.010)  (-1.997, -0.096)  (1.999, -0.021)  (0.000, 0.000)  (0.000, 0.000)  (-1.999, 0.021)  (1.997, 0.096)  (-0.003, -0.010)
step= 43  t=43.000  (0.000, 0.000)  (-1.997, -0.096)  (1.999, -0.021)  (0.000, 0.000)  (0.000, 0.000)  (-1.999, 0.021)  (1.997, 0.096)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (-1.997, -0.096)  (1.475, -0.015)  (0.000, 0.000)  (0.000, 0.000)  (-1.475, 0.015)  (1.997, 0.096)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (-1.525, -0.073)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.525, 0.073)  (0.000, 0.000)
