step= 0  t=0.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 1  t=0.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 2  t=1.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 3  t=1.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 4  t=2.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 5  t=2.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 6  t=3.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 7  t=3.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 8  t=4.000  (1.999, 0.000)  (1.826, -0.677)  (-1.826, 0.677)  (-1.999, 0.000)
step= 9  t=4.500  (1.999, 0.000)  (1.914, -0.496)  (-1.914, 0.496)  (-1.999, 0.000)
step= 10  t=5.000  (1.999, 0.000)  (1.996, 0.116)  (-1.996, -0.116)  (-1.999, 0.000)
step= 11  t=5.500  (1.999, 0.000)  (1.996, 0.116)  (-1.996, -0.116)  (-1.999, 0.000)
step= 12  t=6.000  (1.999, 0.000)  (1.996, 0.116)  (-1.996, -0.116)  (-1.999, 0.000)
step= 13  t=6.500  (1.923, -0.537)  (1.919, -0.421)  (-1.919, 0.421)  (-1.923, 0.537)
step= 14  t=7.000  (1.968, -0.355)  (1.968, -0.239)  (-1.968, 0.239)  (-1.968, 0.355)
step= 15  t=7.500  (1.999, 0.036)  (1.979, 0.283)  (-1.979, -0.283)  (-1.999, -0.036)
step= 16  t=8.000  (1.999, 0.036)  (1.979, 0.283)  (-1.979, -0.283)  (-1.999, -0.036)
step= 17  t=8.500  (1.999, 0.036)  (1.979, 0.283)  (-1.979, -0.283)  (-1.999, -0.036)
step= 18  t=9.000  (1.977, -0.304)  (1.979, 0.283)  (-1.979, -0.283)  (-1.977, 0.304)
step= 19  t=9.500  (1.996, -0.118)  (1.979, 0.283)  (-1.979, -0.283)  (-1.996, 0.118)
step= 20  t=10.000  (1.998, 0.060)  (0.497, 0.071)  (-0.497, -0.071)  (-1.998, -0.060)
step= 21  t=10.500  (1.998, 0.060)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.060)
step= 22  t=11.000  (1.998, 0.060)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.060)
step= 23  t=11.500  (1.998, 0.060)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.060)
step= 24  t=12.000  (1.998, 0.060)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.060)
step= 25  t=12.500  (1.815, -0.097)  (0.000, 0.000)  (0.000, 0.000)  (-1.815, 0.097)
step= 26  t=13.000  (1.915, -0.318)  (0.000, 0.000)  (0.000, 0.000)  (-1.915, 0.318)
step= 27  t=13.500  (1.943, -0.404)  (0.000, 0.000)  (0.000, 0.000)  (-1.943, 0.404)
step= 28  t=14.000  (1.957, -0.413)  (0.000, 0.000)  (0.000, 0.000)  (-1.957, 0.413)
step= 29  t=14.500  (1.972, -0.331)  (0.000, 0.000)  (0.000, 0.000)  (-1.972, 0.331)
step= 30  t=15.000  (2.000, 0.008)  (0.000, 0.000)  (0.000, 0.000)  (-2.000, -0.008)
step= 31  t=15.500  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 32  t=16.000  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 33  t=16.500  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 34  t=17.000  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 35  t=17.500  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 36  t=18.000  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 37  t=18.500  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 38  t=19.000  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 39  t=19.500  (1.982, 0.263)  (0.000, 0.000)  (0.000, 0.000)  (-1.982, -0.263)
step= 40  t=20.000  (0.721, 0.096)  (0.000, 0.000)  (0.000, 0.000)  (-0.721, -0.096)
