step= 0  t=0.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 13  t=13.000  (-1.999, 0.000)  (-1.414, -1.414)  (-0.000, -1.999)  (1.414, -1.414)  (1.999, -0.000)  (1.414, 1.414)  (0.000, 1.999)  (-1.414, 1.414)
step= 14  t=14.000  (-1.865, 0.139)  (-1.242, -1.416)  (0.005, -2.000)  (1.394, -1.434)  (1.857, 0.084)  (1.564, 1.108)  (-0.158, 1.859)  (-1.400, 1.228)
step= 15  t=15.000  (-1.996, 0.124)  (-1.150, -1.201)  (0.067, -1.999)  (1.530, -1.074)  (1.744, 0.034)  (1.374, 0.942)  (-0.036, 2.000)  (-1.343, 1.134)
step= 16  t=16.000  (-1.998, 0.082)  (-1.099, -1.145)  (0.125, -1.996)  (1.551, -0.907)  (1.731, 0.055)  (1.374, 0.897)  (-0.038, 2.000)  (-1.219, 1.177)
step= 17  t=17.000  (-1.905, 0.202)  (-0.939, -1.229)  (-0.044, -2.000)  (1.560, -0.784)  (1.507, 0.021)  (1.409, 0.815)  (0.107, 1.930)  (-1.245, 1.207)
step= 18  t=18.000  (-1.853, 0.234)  (-0.744, -1.199)  (-0.253, -1.984)  (1.567, -0.589)  (1.711, -0.013)  (1.371, 0.561)  (-0.058, 1.859)  (-1.022, 1.016)
step= 19  t=19.000  (-1.728, 0.476)  (-0.781, -1.310)  (-0.489, -1.939)  (1.576, -0.646)  (-1.880, 0.683)  (1.434, 0.477)  (0.505, 1.935)  (-0.871, 0.832)
step= 20  t=20.000  (-1.998, -0.062)  (-0.339, -0.933)  (-0.676, -1.882)  (1.815, -0.840)  (-1.469, 0.480)  (1.372, 0.463)  (0.344, 1.970)  (-0.863, 0.663)
step= 21  t=21.000  (-1.998, -0.062)  (-0.363, -0.935)  (0.066, -1.998)  (1.709, -1.038)  (-0.622, 0.828)  (1.445, 0.574)  (-0.035, 1.999)  (-1.335, 1.428)
step= 22  t=22.000  (-1.999, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.687, -1.074)  (-0.399, 0.588)  (1.417, 0.651)  (-0.035, 1.999)  (-1.375, 1.444)
step= 23  t=23.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.687, -1.075)  (0.078, 0.405)  (1.201, 1.559)  (-0.035, 1.999)  (-1.399, 1.428)
step= 24  t=24.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.207, -1.593)  (1.782, -0.503)  (1.243, 1.565)  (-0.035, 1.999)  (-1.399, 1.428)
step= 25  t=25.000  (-1.998, -0.062)  (-1.478, -1.345)  (0.066, -1.998)  (1.207, -1.593)  (1.996, -0.116)  (1.243, 1.565)  (-0.035, 1.999)  (-1.399, 1.428)
step= 26  t=26.000  (-1.998, -0.062)  (-1.478, -1.345)  (0.066, -1.998)  (1.207, -1.593)  (1.996, -0.116)  (1.243, 1.565)  (-0.035, 1.999)  (-1.399, 1.428)
step= 27  t=27.000  (-1.998, -0.062)  (-1.478, -1.345)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 28  t=28.000  (-1.998, -0.062)  (-1.478, -1.345)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 29  t=29.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 30  t=30.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 31  t=31.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 32  t=32.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 33  t=33.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 34  t=34.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 35  t=35.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 36  t=36.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 37  t=37.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 38  t=38.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 39  t=39.000  (-1.998, -0.062)  (-1.479, -1.346)  (0.066, -1.998)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.035, 1.999)  (-1.399, 1.428)
step= 40  t=40.000  (-0.700, -0.022)  (-1.479, -1.346)  (0.008, -0.248)  (1.208, -1.593)  (1.996, -0.116)  (1.243, 1.566)  (-0.008, 0.480)  (-1.399, 1.428)
step= 41  t=41.000  (0.000, 0.000)  (-1.479, -1.346)  (0.000, 0.000)  (0.175, -0.230)  (1.996, -0.116)  (1.243, 1.566)  (0.000, 0.000)  (-0.923, 0.942)
step= 42  t=42.000  (0.000, 0.000)  (-0.548, -0.499)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.437, 0.550)  (0.000, 0.000)  (0.000, 0.000)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (1.996, -0.116)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)  (0.066, -0.004)  (0.000, 0.000)  (0.000, 0.000)  (0.000, 0.000)
