Simulation has 15 agents and 0 obstacle vertices in it.
Running simulation
step= 17  t=17.000  (11.149, 0.000)  (10.186, 4.535)  (7.460, 8.285)  (3.445, 10.604)  (-1.165, 11.088)  (-5.575, 9.656)  (-9.020, 6.553)  (-10.906, 2.318)  (-10.905, -2.318)  (-9.020, -6.554)  (-5.574, -9.655)  (-1.165, -11.089)  (3.445, -10.603)  (7.460, -8.286)  (10.186, -4.535)
step= 18  t=18.000  (10.574, -0.000)  (9.659, 4.301)  (7.075, 7.858)  (3.267, 10.056)  (-1.105, 10.516)  (-5.287, 9.157)  (-8.555, 6.215)  (-10.342, 2.198)  (-10.343, -2.199)  (-8.554, -6.215)  (-5.287, -9.158)  (-1.105, -10.515)  (3.268, -10.056)  (7.075, -7.858)  (9.659, -4.301)
step= 19  t=19.000  (10.094, 0.000)  (9.222, 4.106)  (6.754, 7.501)  (3.119, 9.600)  (-1.055, 10.038)  (-5.047, 8.742)  (-8.166, 5.933)  (-9.874, 2.099)  (-9.873, -2.099)  (-8.167, -5.933)  (-5.047, -8.741)  (-1.055, -10.039)  (3.119, -9.600)  (6.754, -7.501)  (9.221, -4.106)
step= 20  t=20.000  (9.694, -0.000)  (8.856, 3.943)  (6.487, 7.204)  (2.996, 9.220)  (-1.013, 9.641)  (-4.847, 8.395)  (-7.843, 5.698)  (-9.482, 2.016)  (-9.483, -2.016)  (-7.843, -5.698)  (-4.847, -8.396)  (-1.013, -9.641)  (2.996, -9.220)  (6.487, -7.204)  (8.856, -3.943)
step= 21  t=21.000  (9.361, -0.000)  (8.552, 3.808)  (6.264, 6.957)  (2.893, 8.903)  (-0.979, 9.310)  (-4.681, 8.107)  (-7.573, 5.502)  (-9.157, 1.946)  (-9.157, -1.946)  (-7.573, -5.502)  (-4.681, -8.107)  (-0.979, -9.310)  (2.893, -8.903)  (6.264, -6.957)  (8.552, -3.808)
step= 22  t=22.000  (9.084, -0.000)  (8.298, 3.695)  (6.078, 6.750)  (2.807, 8.639)  (-0.949, 9.034)  (-4.542, 7.867)  (-7.349, 5.339)  (-8.885, 1.889)  (-8.885, -1.889)  (-7.349, -5.339)  (-4.542, -7.867)  (-0.949, -9.034)  (2.807, -8.639)  (6.078, -6.750)  (8.298, -3.695)
step= 23  t=23.000  (8.852, -0.000)  (8.087, 3.601)  (5.923, 6.579)  (2.736, 8.419)  (-0.925, 8.804)  (-4.426, 7.666)  (-7.162, 5.203)  (-8.659, 1.840)  (-8.659, -1.840)  (-7.162, -5.203)  (-4.426, -7.666)  (-0.925, -8.804)  (2.736, -8.419)  (5.923, -6.579)  (8.087, -3.601)
step= 24  t=24.000  (8.659, -0.000)  (7.911, 3.522)  (5.794, 6.435)  (2.676, 8.236)  (-0.905, 8.612)  (-4.330, 7.499)  (-7.006, 5.090)  (-8.470, 1.800)  (-8.470, -1.800)  (-7.006, -5.090)  (-4.330, -7.499)  (-0.905, -8.612)  (2.676, -8.236)  (5.794, -6.435)  (7.911, -3.522)
step= 25  t=25.000  (8.499, -0.000)  (7.764, 3.457)  (5.687, 6.316)  (2.626, 8.083)  (-0.888, 8.452)  (-4.249, 7.360)  (-6.876, 4.995)  (-8.313, 1.767)  (-8.313, -1.767)  (-6.876, -4.995)  (-4.249, -7.360)  (-0.888, -8.452)  (2.626, -8.083)  (5.687, -6.316)  (7.764, -3.457)
step= 26  t=26.000  (8.365, -0.000)  (7.642, 3.402)  (5.597, 6.216)  (2.585, 7.956)  (-0.874, 8.319)  (-4.182, 7.244)  (-6.767, 4.917)  (-8.182, 1.739)  (-8.182, -1.739)  (-6.767, -4.917)  (-4.182, -7.244)  (-0.874, -8.319)  (2.585, -7.956)  (5.597, -6.216)  (7.642, -3.402)
step= 27  t=27.000  (8.253, -0.000)  (7.540, 3.357)  (5.523, 6.133)  (2.550, 7.849)  (-0.863, 8.208)  (-4.127, 7.148)  (-6.677, 4.851)  (-8.073, 1.716)  (-8.073, -1.716)  (-6.677, -4.851)  (-4.127, -7.148)  (-0.863, -8.208)  (2.550, -7.849)  (5.523, -6.133)  (7.540, -3.357)
step= 28  t=28.000  (8.160, -0.000)  (7.455, 3.319)  (5.460, 6.064)  (2.522, 7.761)  (-0.853, 8.116)  (-4.080, 7.067)  (-6.602, 4.797)  (-7.982, 1.697)  (-7.982, -1.697)  (-6.602, -4.797)  (-4.080, -7.067)  (-0.853, -8.116)  (2.522, -7.761)  (5.460, -6.064)  (7.455, -3.319)
step= 29  t=29.000  (8.083, -0.000)  (7.384, 3.288)  (5.409, 6.007)  (2.498, 7.687)  (-0.845, 8.039)  (-4.041, 7.000)  (-6.539, 4.751)  (-7.906, 1.681)  (-7.906, -1.681)  (-6.539, -4.751)  (-4.041, -7.000)  (-0.845, -8.039)  (2.498, -7.687)  (5.409, -6.007)  (7.384, -3.288)
step= 30  t=30.000  (8.018, -0.000)  (7.325, 3.261)  (5.365, 5.959)  (2.478, 7.626)  (-0.838, 7.974)  (-4.009, 6.944)  (-6.487, 4.713)  (-7.843, 1.667)  (-7.843, -1.667)  (-6.487, -4.713)  (-4.009, -6.944)  (-0.838, -7.974)  (2.478, -7.626)  (5.365, -5.959)  (7.325, -3.261)
step= 31  t=31.000  (7.965, -0.000)  (7.276, 3.239)  (5.329, 5.919)  (2.461, 7.575)  (-0.832, 7.921)  (-3.982, 6.898)  (-6.443, 4.681)  (-7.791, 1.656)  (-7.791, -1.656)  (-6.443, -4.681)  (-3.982, -6.898)  (-0.832, -7.921)  (2.461, -7.575)  (5.329, -5.919)  (7.276, -3.239)
